postal_code,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
HI,0.22,0.23,0.21,0.45,0.67,0.21,0.24,0.19,0.2,0.33,0.21,1.0,0.22,0.21,0.16,0.21,0.23,0.23,0.23,0.21,0.19,0.22,0.23,0.23,0.23,0.19,0.23,0.23,0.23,0.21,0.22,0.39,0.68,0.46,0.34,0.22,0.2,0.2,0.22,0.19,0.24,0.21,0.22,0.49,0.21,0.22,0.21,0.21,0.22,0.21,0.21
IA,0.65,0.59,0.64,0.49,0.25,0.63,0.45,0.17,0.57,0.51,0.43,0.22,1.0,0.75,0.44,0.79,0.78,0.78,0.5,0.43,0.23,0.76,0.81,0.82,0.8,0.45,0.84,0.7,0.76,0.74,0.73,0.26,0.26,0.35,0.24,0.82,0.63,0.74,0.78,0.52,0.63,0.77,0.67,0.28,0.57,0.64,0.65,0.66,0.84,0.76,0.71
ID,0.65,0.52,0.58,0.49,0.22,0.61,0.34,0.16,0.42,0.44,0.36,0.21,0.75,1.0,0.37,0.74,0.74,0.71,0.44,0.33,0.2,0.61,0.69,0.72,0.72,0.38,0.72,0.59,0.72,0.72,0.6,0.22,0.23,0.35,0.21,0.71,0.63,0.67,0.67,0.43,0.52,0.71,0.61,0.28,0.62,0.51,0.48,0.59,0.72,0.69,0.69
IL,0.24,0.17,0.19,0.52,0.33,0.49,0.58,0.12,0.57,0.56,0.22,0.16,0.44,0.37,1.0,0.39,0.33,0.32,0.21,0.58,0.39,0.45,0.56,0.52,0.39,0.16,0.37,0.29,0.32,0.4,0.5,0.56,0.21,0.54,0.59,0.52,0.18,0.5,0.61,0.65,0.24,0.32,0.24,0.21,0.47,0.51,0.42,0.6,0.55,0.31,0.26
IN,0.62,0.65,0.68,0.45,0.23,0.57,0.32,0.16,0.5,0.49,0.53,0.21,0.79,0.74,0.39,1.0,0.78,0.8,0.58,0.3,0.21,0.64,0.77,0.75,0.8,0.52,0.75,0.75,0.73,0.71,0.61,0.22,0.24,0.34,0.22,0.79,0.68,0.68,0.72,0.42,0.69,0.74,0.73,0.26,0.55,0.6,0.49,0.57,0.76,0.76,0.7
KS,0.69,0.62,0.68,0.44,0.25,0.65,0.31,0.16,0.4,0.42,0.44,0.23,0.78,0.74,0.33,0.78,1.0,0.8,0.49,0.31,0.21,0.62,0.7,0.76,0.79,0.46,0.78,0.7,0.76,0.7,0.61,0.23,0.25,0.28,0.23,0.73,0.73,0.7,0.68,0.39,0.63,0.77,0.73,0.27,0.57,0.58,0.48,0.58,0.72,0.75,0.74
KY,0.63,0.7,0.72,0.41,0.24,0.54,0.29,0.16,0.47,0.48,0.55,0.23,0.78,0.71,0.32,0.8,0.8,1.0,0.6,0.26,0.21,0.64,0.74,0.72,0.81,0.56,0.76,0.79,0.74,0.67,0.6,0.22,0.24,0.29,0.22,0.77,0.73,0.66,0.7,0.37,0.72,0.76,0.77,0.26,0.49,0.59,0.48,0.52,0.73,0.78,0.72
LA,0.31,0.71,0.59,0.23,0.23,0.22,0.19,0.15,0.47,0.36,0.76,0.23,0.5,0.44,0.21,0.58,0.49,0.6,1.0,0.2,0.25,0.38,0.57,0.42,0.59,0.71,0.45,0.7,0.47,0.42,0.33,0.2,0.22,0.23,0.2,0.58,0.51,0.31,0.48,0.18,0.74,0.46,0.62,0.24,0.29,0.48,0.27,0.21,0.47,0.54,0.45
MA,0.25,0.2,0.17,0.49,0.32,0.58,0.72,0.22,0.5,0.47,0.22,0.21,0.43,0.33,0.58,0.3,0.31,0.26,0.2,1.0,0.41,0.53,0.49,0.54,0.33,0.2,0.41,0.23,0.32,0.39,0.6,0.65,0.24,0.43,0.59,0.45,0.19,0.51,0.57,0.64,0.21,0.31,0.18,0.22,0.45,0.53,0.56,0.62,0.53,0.27,0.26
MD,0.21,0.21,0.19,0.22,0.22,0.23,0.43,0.5,0.47,0.37,0.31,0.19,0.23,0.2,0.39,0.21,0.21,0.21,0.25,0.41,1.0,0.24,0.29,0.24,0.22,0.2,0.22,0.23,0.21,0.2,0.27,0.51,0.2,0.23,0.54,0.24,0.2,0.21,0.32,0.34,0.22,0.21,0.2,0.2,0.23,0.41,0.27,0.23,0.24,0.2,0.19
ME,0.5,0.48,0.5,0.46,0.25,0.56,0.6,0.16,0.62,0.6,0.32,0.22,0.76,0.61,0.45,0.64,0.62,0.64,0.38,0.53,0.24,1.0,0.77,0.76,0.68,0.35,0.77,0.6,0.62,0.63,0.82,0.38,0.25,0.35,0.29,0.74,0.46,0.7,0.78,0.58,0.54,0.66,0.53,0.26,0.43,0.64,0.76,0.65,0.81,0.67,0.6
MI,0.51,0.61,0.6,0.51,0.26,0.58,0.54,0.17,0.71,0.67,0.52,0.23,0.81,0.69,0.56,0.77,0.7,0.74,0.57,0.49,0.29,0.77,1.0,0.81,0.79,0.48,0.77,0.73,0.67,0.69,0.75,0.38,0.26,0.45,0.36,0.87,0.56,0.73,0.86,0.59,0.68,0.69,0.66,0.27,0.54,0.73,0.64,0.66,0.85,0.74,0.64
MN,0.6,0.51,0.56,0.51,0.26,0.73,0.54,0.16,0.56,0.53,0.36,0.23,0.82,0.72,0.52,0.75,0.76,0.72,0.42,0.54,0.24,0.76,0.81,1.0,0.77,0.35,0.8,0.64,0.73,0.73,0.78,0.36,0.26,0.37,0.33,0.81,0.57,0.78,0.82,0.59,0.55,0.73,0.61,0.27,0.63,0.71,0.66,0.74,0.85,0.7,0.67
MO,0.58,0.67,0.68,0.42,0.24,0.57,0.36,0.16,0.54,0.51,0.55,0.23,0.8,0.72,0.39,0.8,0.79,0.81,0.59,0.33,0.22,0.68,0.79,0.77,1.0,0.54,0.78,0.78,0.73,0.7,0.65,0.23,0.25,0.31,0.23,0.81,0.67,0.68,0.75,0.43,0.72,0.74,0.74,0.27,0.52,0.66,0.53,0.57,0.77,0.77,0.7
MS,0.31,0.7,0.59,0.22,0.23,0.21,0.2,0.13,0.36,0.3,0.74,0.19,0.45,0.38,0.16,0.52,0.46,0.56,0.71,0.2,0.2,0.35,0.48,0.35,0.54,1.0,0.43,0.68,0.42,0.34,0.28,0.22,0.22,0.22,0.22,0.49,0.53,0.28,0.39,0.18,0.72,0.44,0.59,0.23,0.21,0.4,0.23,0.21,0.4,0.53,0.42
MT,0.64,0.59,0.63,0.46,0.25,0.63,0.46,0.17,0.52,0.52,0.39,0.23,0.84,0.72,0.37,0.75,0.78,0.76,0.45,0.41,0.22,0.77,0.77,0.8,0.78,0.43,1.0,0.68,0.74,0.7,0.75,0.26,0.26,0.3,0.24,0.77,0.64,0.73,0.75,0.49,0.61,0.77,0.66,0.28,0.5,0.63,0.65,0.63,0.8,0.77,0.72
NC,0.46,0.78,0.72,0.28,0.25,0.39,0.27,0.16,0.54,0.5,0.7,0.23,0.7,0.59,0.29,0.75,0.7,0.79,0.7,0.23,0.23,0.6,0.73,0.64,0.78,0.68,0.68,1.0,0.63,0.56,0.54,0.23,0.24,0.26,0.22,0.75,0.66,0.55,0.66,0.31,0.84,0.65,0.78,0.26,0.33,0.64,0.45,0.4,0.67,0.75,0.62
ND,0.67,0.56,0.63,0.41,0.23,0.58,0.33,0.15,0.41,0.37,0.39,0.23,0.76,0.72,0.32,0.73,0.76,0.74,0.47,0.32,0.21,0.62,0.67,0.73,0.73,0.42,0.74,0.63,1.0,0.7,0.61,0.22,0.24,0.26,0.21,0.7,0.65,0.64,0.65,0.4,0.56,0.74,0.65,0.25,0.6,0.54,0.52,0.56,0.71,0.7,0.73
NE,0.59,0.49,0.53,0.47,0.21,0.61,0.38,0.15,0.44,0.44,0.35,0.21,0.74,0.72,0.4,0.71,0.7,0.67,0.42,0.39,0.2,0.63,0.69,0.73,0.7,0.34,0.7,0.56,0.7,1.0,0.63,0.24,0.23,0.34,0.22,0.71,0.57,0.66,0.68,0.46,0.5,0.68,0.58,0.25,0.61,0.55,0.51,0.6,0.72,0.65,0.65
NH,0.48,0.43,0.45,0.47,0.26,0.63,0.64,0.16,0.61,0.59,0.27,0.22,0.73,0.6,0.5,0.61,0.61,0.6,0.33,0.6,0.27,0.82,0.75,0.78,0.65,0.28,0.75,0.54,0.61,0.63,1.0,0.44,0.24,0.36,0.36,0.73,0.43,0.71,0.79,0.62,0.47,0.63,0.49,0.25,0.48,0.68,0.75,0.69,0.8,0.62,0.58
NJ,0.22,0.21,0.19,0.53,0.5,0.44,0.63,0.28,0.44,0.57,0.25,0.39,0.26,0.22,0.56,0.22,0.23,0.22,0.2,0.65,0.51,0.38,0.38,0.36,0.23,0.22,0.26,0.23,0.22,0.24,0.44,1.0,0.4,0.56,0.76,0.33,0.2,0.39,0.46,0.57,0.22,0.22,0.2,0.26,0.32,0.39,0.38,0.51,0.38,0.22,0.21
NM,0.37,0.22,0.21,0.59,0.63,0.26,0.28,0.16,0.22,0.41,0.25,0.68,0.26,0.23,0.21,0.24,0.25,0.24,0.22,0.24,0.2,0.25,0.26,0.26,0.25,0.22,0.26,0.24,0.24,0.23,0.24,0.4,1.0,0.57,0.34,0.25,0.21,0.27,0.25,0.29,0.24,0.23,0.23,0.57,0.23,0.23,0.24,0.33,0.26,0.24,0.22
NV,0.37,0.22,0.21,0.8,0.62,0.41,0.44,0.16,0.38,0.63,0.24,0.46,0.35,0.35,0.54,0.34,0.28,0.29,0.23,0.43,0.23,0.35,0.45,0.37,0.31,0.22,0.3,0.26,0.26,0.34,0.36,0.56,0.57,1.0,0.59,0.42,0.28,0.43,0.48,0.53,0.24,0.28,0.23,0.59,0.45,0.25,0.28,0.54,0.43,0.3,0.26
NY,0.22,0.2,0.19,0.53,0.53,0.41,0.55,0.33,0.42,0.52,0.25,0.34,0.24,0.21,0.59,0.22,0.23,0.22,0.2,0.59,0.54,0.29,0.36,0.33,0.23,0.22,0.24,0.22,0.21,0.22,0.36,0.76,0.34,0.59,1.0,0.32,0.21,0.35,0.43,0.54,0.21,0.22,0.2,0.31,0.37,0.36,0.29,0.48,0.34,0.21,0.2
OH,0.53,0.62,0.62,0.5,0.26,0.6,0.49,0.15,0.65,0.62,0.52,0.22,0.82,0.71,0.52,0.79,0.73,0.77,0.58,0.45,0.24,0.74,0.87,0.81,0.81,0.49,0.77,0.75,0.7,0.71,0.73,0.33,0.25,0.42,0.32,1.0,0.59,0.73,0.84,0.56,0.69,0.71,0.68,0.27,0.57,0.71,0.6,0.65,0.85,0.75,0.66
OK,0.65,0.66,0.69,0.41,0.24,0.49,0.19,0.14,0.28,0.38,0.47,0.2,0.63,0.63,0.18,0.68,0.73,0.73,0.51,0.19,0.2,0.46,0.56,0.57,0.67,0.53,0.64,0.66,0.65,0.57,0.43,0.2,0.21,0.28,0.21,0.59,1.0,0.55,0.52,0.22,0.61,0.66,0.7,0.35,0.44,0.41,0.31,0.4,0.55,0.68,0.66
OR,0.59,0.43,0.51,0.57,0.24,0.7,0.51,0.16,0.49,0.58,0.26,0.2,0.74,0.67,0.5,0.68,0.7,0.66,0.31,0.51,0.21,0.7,0.73,0.78,0.68,0.28,0.73,0.55,0.64,0.66,0.71,0.39,0.27,0.43,0.35,0.73,0.55,1.0,0.76,0.57,0.46,0.66,0.54,0.25,0.55,0.59,0.58,0.72,0.77,0.65,0.6
PA,0.49,0.54,0.54,0.55,0.27,0.64,0.61,0.17,0.7,0.71,0.44,0.22,0.78,0.67,0.61,0.72,0.68,0.7,0.48,0.57,0.32,0.78,0.86,0.82,0.75,0.39,0.75,0.66,0.65,0.68,0.79,0.46,0.25,0.48,0.43,0.84,0.52,0.76,1.0,0.65,0.6,0.67,0.6,0.27,0.55,0.73,0.66,0.72,0.85,0.7,0.61
RI,0.35,0.2,0.23,0.57,0.31,0.57,0.67,0.12,0.56,0.58,0.21,0.19,0.52,0.43,0.65,0.42,0.39,0.37,0.18,0.64,0.34,0.58,0.59,0.59,0.43,0.18,0.49,0.31,0.4,0.46,0.62,0.57,0.29,0.53,0.54,0.56,0.22,0.57,0.65,1.0,0.26,0.41,0.27,0.22,0.49,0.51,0.55,0.69,0.62,0.39,0.37
SC,0.39,0.79,0.7,0.26,0.26,0.29,0.23,0.16,0.53,0.48,0.74,0.24,0.63,0.52,0.24,0.69,0.63,0.72,0.74,0.21,0.22,0.54,0.68,0.55,0.72,0.72,0.61,0.84,0.56,0.5,0.47,0.22,0.24,0.24,0.21,0.69,0.61,0.46,0.6,0.26,1.0,0.58,0.74,0.26,0.27,0.59,0.39,0.3,0.59,0.69,0.57
SD,0.67,0.58,0.65,0.43,0.23,0.57,0.34,0.15,0.43,0.42,0.39,0.21,0.77,0.71,0.32,0.74,0.77,0.76,0.46,0.31,0.21,0.66,0.69,0.73,0.74,0.44,0.77,0.65,0.74,0.68,0.63,0.22,0.23,0.28,0.22,0.71,0.66,0.66,0.67,0.41,0.58,1.0,0.66,0.25,0.53,0.53,0.54,0.56,0.73,0.73,0.73
TN,0.53,0.72,0.72,0.31,0.23,0.44,0.19,0.15,0.42,0.43,0.59,0.22,0.67,0.61,0.24,0.73,0.73,0.77,0.62,0.18,0.2,0.53,0.66,0.61,0.74,0.59,0.66,0.78,0.65,0.58,0.49,0.2,0.23,0.23,0.2,0.68,0.7,0.54,0.6,0.27,0.74,0.66,1.0,0.24,0.38,0.56,0.37,0.4,0.62,0.72,0.65
TX,0.42,0.25,0.23,0.59,0.6,0.29,0.22,0.16,0.23,0.32,0.26,0.49,0.28,0.28,0.21,0.26,0.27,0.26,0.24,0.22,0.2,0.26,0.27,0.27,0.27,0.23,0.28,0.26,0.25,0.25,0.25,0.26,0.57,0.59,0.31,0.27,0.35,0.25,0.27,0.22,0.26,0.25,0.24,1.0,0.35,0.23,0.23,0.27,0.27,0.25,0.24
UT,0.58,0.28,0.35,0.55,0.25,0.65,0.37,0.16,0.32,0.29,0.24,0.21,0.57,0.62,0.47,0.55,0.57,0.49,0.29,0.45,0.23,0.43,0.54,0.63,0.52,0.21,0.5,0.33,0.6,0.61,0.48,0.32,0.23,0.45,0.37,0.57,0.44,0.55,0.55,0.49,0.27,0.53,0.38,0.35,1.0,0.41,0.37,0.61,0.59,0.43,0.51
VA,0.3,0.52,0.46,0.3,0.24,0.54,0.55,0.16,0.67,0.54,0.51,0.22,0.64,0.51,0.51,0.6,0.58,0.59,0.48,0.53,0.41,0.64,0.73,0.71,0.66,0.4,0.63,0.64,0.54,0.55,0.68,0.39,0.23,0.25,0.36,0.71,0.41,0.59,0.73,0.51,0.59,0.53,0.56,0.23,0.41,1.0,0.58,0.53,0.68,0.57,0.49
VT,0.42,0.34,0.36,0.38,0.23,0.5,0.6,0.16,0.57,0.47,0.22,0.21,0.65,0.48,0.42,0.49,0.48,0.48,0.27,0.56,0.27,0.76,0.64,0.66,0.53,0.23,0.65,0.45,0.52,0.51,0.75,0.38,0.24,0.28,0.29,0.6,0.31,0.58,0.66,0.55,0.39,0.54,0.37,0.23,0.37,0.58,1.0,0.59,0.69,0.52,0.48
WA,0.55,0.28,0.36,0.67,0.33,0.75,0.61,0.15,0.46,0.55,0.22,0.21,0.66,0.59,0.6,0.57,0.58,0.52,0.21,0.62,0.23,0.65,0.66,0.74,0.57,0.21,0.63,0.4,0.56,0.6,0.69,0.51,0.33,0.54,0.48,0.65,0.4,0.72,0.72,0.69,0.3,0.56,0.4,0.27,0.61,0.53,0.59,1.0,0.73,0.51,0.5
WI,0.58,0.54,0.57,0.54,0.26,0.66,0.57,0.16,0.64,0.61,0.4,0.22,0.84,0.72,0.55,0.76,0.72,0.73,0.47,0.53,0.24,0.81,0.85,0.85,0.77,0.4,0.8,0.67,0.71,0.72,0.8,0.38,0.26,0.43,0.34,0.85,0.55,0.77,0.85,0.62,0.59,0.73,0.62,0.27,0.59,0.68,0.69,0.73,1.0,0.73,0.67
WV,0.59,0.66,0.69,0.41,0.23,0.51,0.33,0.15,0.49,0.52,0.49,0.21,0.76,0.69,0.31,0.76,0.75,0.78,0.54,0.27,0.2,0.67,0.74,0.7,0.77,0.53,0.77,0.75,0.7,0.65,0.62,0.22,0.24,0.3,0.21,0.75,0.68,0.65,0.7,0.39,0.69,0.73,0.72,0.25,0.43,0.57,0.52,0.51,0.73,1.0,0.71
WY,0.64,0.58,0.63,0.41,0.22,0.53,0.3,0.14,0.38,0.4,0.39,0.21,0.71,0.69,0.26,0.7,0.74,0.72,0.45,0.26,0.19,0.6,0.64,0.67,0.7,0.42,0.72,0.62,0.73,0.65,0.58,0.21,0.22,0.26,0.2,0.66,0.66,0.6,0.61,0.37,0.57,0.73,0.65,0.24,0.51,0.49,0.48,0.5,0.67,0.71,1.0
